Molecule_1:CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1; Pred:0.0; Label:0
Molecule_192:CC(C)(c1ccc(O)cc1)c1ccc(O)cc1; Pred:0.0; Label:0
Molecule_193:O=C1C=C(O)c2ccccc2C1=O; Pred:0.0; Label:0
Molecule_194:CCCCCCCCCc1ccc(O)cc1; Pred:0.0; Label:0
Molecule_195:CC1=CC(=O)c2c(O)cccc2C1=O; Pred:0.0; Label:0
Molecule_196:O=C1OC2(c3ccccc31)c1cc(I)c([O-])c(I)c1Oc1c2cc(I)c([O-])c1I; Pred:0.0; Label:0
Molecule_197:CC(C)(C)O; Pred:0.0; Label:0
Molecule_198:CC(C)[C@@]12CC(=O)[C@@H](C)[C@@H]1C2; Pred:0.0; Label:0
Molecule_199:C=C(C)C(=O)OCCN(C)C; Pred:0.0; Label:0
Molecule_200:N#CCc1ccc(Cl)cc1; Pred:0.0; Label:0
Molecule_201:O=[Zn]; Pred:0.0; Label:0
Molecule_202:COP(=S)(Cl)OC; Pred:0.0; Label:0
Molecule_203:O=C(O)c1ccc(O)cc1; Pred:0.0; Label:0
Molecule_204:c1ccncc1; Pred:0.0; Label:0
Molecule_205:CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C; Pred:0.0; Label:0
Molecule_206:C/C=C/c1ccc(O)c(OC)c1; Pred:0.0; Label:0
Molecule_207:CNc1ccccc1; Pred:0.0; Label:0
Molecule_208:O=S([O-])CO; Pred:0.0; Label:0
Molecule_209:c1ccc2nccnc2c1; Pred:0.0; Label:0
Molecule_210:CCc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O; Pred:0.0; Label:0
Molecule_211:C=CC(=O)OCCO; Pred:0.0; Label:0
Molecule_212:CCCCNC(=O)c1cc(N)ccc1Oc1ccccc1; Pred:0.0; Label:0
Molecule_213:Nc1ccccc1[N+](=O)[O-]; Pred:0.0; Label:0
Molecule_214:CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C; Pred:0.0; Label:0
Molecule_215:Nc1cc(-c2ccncc2)c[nH]c1=O; Pred:0.0; Label:0
Molecule_216:COc1ccc(C(=O)N2CCN(c3ccc4c(c3)CCC(=O)N4)CC2)cc1OC; Pred:0.0; Label:0
Molecule_217:O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O; Pred:0.0; Label:0
Molecule_218:COc1cc(OC)c(OC)cc1C=O; Pred:0.0; Label:0
Molecule_219:COc1ccc(O)cc1; Pred:0.0; Label:0
Molecule_220:Nc1nc(N)nc(-c2ccccc2)n1; Pred:0.0; Label:0
Molecule_221:c1cnccn1; Pred:0.0; Label:0
Molecule_222:O=S([O-])S(=O)[O-]; Pred:0.0; Label:0
Molecule_223:CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC; Pred:0.0; Label:0
Molecule_224:Cl[Hg]Cl; Pred:0.0; Label:0
Molecule_225:O=C1CCCCCCCCCCCCCCO1; Pred:0.0; Label:0
Molecule_226:O=S([O-])S(=O)(=O)[O-]; Pred:0.0; Label:0
Molecule_227:O=[N+]([O-])c1ccc2cc3ccccc3cc2c1; Pred:1.0; Label:1
Molecule_228:O=[N+]([O-])c1ccc2ccc3c([N+](=O)[O-])ccc4ccc1c2c43; Pred:1.0; Label:1
Molecule_229:CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21; Pred:1.0; Label:1
Molecule_230:O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1; Pred:1.0; Label:1
Molecule_231:CCCCOc1ccc2nc3cc(Cl)ccc3c(NCCCNCCCl)c2n1; Pred:1.0; Label:1
Molecule_232:O=Cc1ccc([N+](=O)[O-])o1; Pred:1.0; Label:1
Molecule_233:Nc1cccc2ncc(F)cc12; Pred:1.0; Label:1
Molecule_234:O=[N+]([O-])c1ccc2cc3c(cc2c1)[C@H](O)[C@@H](O)C=C3; Pred:1.0; Label:1
Molecule_235:CCc1cccc(CC)c1NC(=O)CCl; Pred:1.0; Label:1
Molecule_236:CN(C)c1ccc(/N=N/c2ccccc2C(=O)O)cc1; Pred:1.0; Label:1
Molecule_237:COc1cc(CC2CO2)ccc1O; Pred:1.0; Label:1
Molecule_238:Cc1ccc2ncccc2c1; Pred:1.0; Label:1
Molecule_239:CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](OC(C[C@H](C)O)O[C@@H](C)C=O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O; Pred:1.0; Label:1
Molecule_240:CC[C@@H](C)OS(C)(=O)=O; Pred:1.0; Label:1
Molecule_241:COc1ccc2c(c1)C(=O)c1nccc3cc(OC)c(OC)c-2c13; Pred:1.0; Label:1
Molecule_242:CC(=O)Nc1ccc(Oc2ccc(Cl)cc2Cl)cc1; Pred:1.0; Label:1
Molecule_243:Cn1c(N=[N+]=[N-])nc2c3ccccc3ccc21; Pred:1.0; Label:1
Molecule_244:BrCc1ccc2c3c(cccc13)-c1ccccc1-2; Pred:1.0; Label:1
Molecule_245:CC(=O)N(O)c1ccc(-c2ccccc2)cc1; Pred:1.0; Label:1
Molecule_246:COc1cccc(CN(C)N=O)c1; Pred:1.0; Label:1
Molecule_247:CC(=O)OCN(CCCCl)N=O; Pred:1.0; Label:1
Molecule_248:CCCCCN(CCCCO)N=O; Pred:1.0; Label:1
Molecule_249:CC(C)(C)OOC(=O)c1ccccc1; Pred:0.0; Label:1
Molecule_250:Nc1ccc(O)c2c1C(O)=CC(=O)C2=O; Pred:1.0; Label:1
Molecule_251:CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@H](OC2CC(N)C(O)C(C)O2)C1)C(=O)c1c(O)cccc1C3=O; Pred:1.0; Label:1
Molecule_252:C=CCCl; Pred:0.0; Label:1
Molecule_253:Cn1cnc2c(NO)ncnc21; Pred:1.0; Label:1
Molecule_254:CCOC(=O)c1[nH]c2ccccc2c1/N=C/c1ccc([N+](=O)[O-])cc1; Pred:0.0; Label:1
Molecule_255:O=C(/N=c1\sn(C(=O)c2ccc(Cl)cc2)c2ccc([N+](=O)[O-])cc12)c1ccc(Cl)cc1; Pred:1.0; Label:1
Molecule_256:N/N=c1\[nH]nc(NN)c2ccccc12; Pred:1.0; Label:1
Molecule_257:O=[N+]([O-])c1ccc(Sc2ccccc2)cc1; Pred:1.0; Label:1
Molecule_258:C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O; Pred:1.0; Label:1
Molecule_259:O=c1oc2ccc([N+](=O)[O-])cc2c2ccccc12; Pred:1.0; Label:1
Molecule_260:O=C1NC(=O)c2cc([N+](=O)[O-])ccc21; Pred:1.0; Label:1
Molecule_261:CC(O)CBr; Pred:1.0; Label:1
Molecule_262:C=C(Br)C(C)=O; Pred:1.0; Label:1
Molecule_263:[N-]=[N+]=NC[C@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O; Pred:1.0; Label:1
Molecule_264:C[C@H](C(=O)O)N(N=[N+]=[N-])C(=O)OC(C)(C)C; Pred:1.0; Label:1
Molecule_265:CCCCN(N=O)C(N)=O; Pred:1.0; Label:1
Molecule_266:CC(=O)ON(OCc1ccc(Br)cc1)C(=O)c1ccccc1; Pred:1.0; Label:1
Molecule_267:O=[N+]([O-])c1ccc(Nc2ccccc2O)c([N+](=O)[O-])c1; Pred:1.0; Label:1
Molecule_268:CC1CNC(=O)N1c1ncc([N+](=O)[O-])s1; Pred:1.0; Label:1
Molecule_269:O=[N+]([O-])c1cc2c3ccccc3ccc2c2ccccc12; Pred:1.0; Label:1
Molecule_270:N#CCc1ccccc1[N+](=O)[O-]; Pred:1.0; Label:1
Molecule_271:O=[N+]([O-])c1cccc2c1oc1ccccc12; Pred:1.0; Label:1
Molecule_272:Cc1c(C)c2c(Cl)c3ccccc3nc2c2ccccc12; Pred:1.0; Label:1
Molecule_273:O=C/C=C/c1ccc([N+](=O)[O-])cc1; Pred:1.0; Label:1
Molecule_274:c1ccc2c(OC[C@H]3CO3)cccc2c1; Pred:1.0; Label:1
Molecule_275:O=[N+]([O-])c1ccc(Cl)c(Cl)c1; Pred:0.0; Label:1
Molecule_276:CCOC(=O)/C=C/c1ccc([N+](=O)[O-])o1; Pred:1.0; Label:1
Molecule_277:N#[N+]c1ccc(C(=O)O)cc1; Pred:1.0; Label:1
Molecule_278:Cc1ccc2nc3c(ccc4ccccc43)c(C)c2c1; Pred:1.0; Label:1
Molecule_279:[N-]=[N+]=NC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O; Pred:1.0; Label:1
Molecule_280:C1=CC2=C3OC3c3cc4c(cc3C2C=C1)c1c(c2ccccc24)O1; Pred:1.0; Label:1
Molecule_281:O=[N+]([O-])c1ccc(/C=C/c2cccc([N+](=O)[O-])c2)cc1; Pred:1.0; Label:1
Molecule_282:Nc1ccc(Oc2ccccc2)cc1; Pred:1.0; Label:1
Molecule_283:CCON(OC(C)=O)C(=O)c1ccccc1; Pred:1.0; Label:1
Molecule_284:Nc1n[nH]c(N)n1; Pred:1.0; Label:1
Molecule_285:CCCOC(=O)/C=C/c1ccc([N+](=O)[O-])o1; Pred:1.0; Label:1
Molecule_286:O=Nn1cc(CCO)c2ccccc21; Pred:1.0; Label:1
Molecule_287:COc1ccc2c(OC)c3ccoc3nc2c1; Pred:1.0; Label:1
Molecule_288:O=Nc1ccc2ccc3c([N+](=O)[O-])ccc4ccc1c2c43; Pred:1.0; Label:1
Molecule_289:O=c1oc2ccc([N+](=O)[O-])c3ccc4cccc1c4c23; Pred:1.0; Label:1
Molecule_290:ClCc1cc2c3c(cccc3c1)-c1ccccc1-2; Pred:1.0; Label:1
Molecule_291:O=[N+]([O-])c1ccc2nscc2c1; Pred:1.0; Label:1
Molecule_292:O=[N+]([O-])/C=C/c1ccc([N+](=O)[O-])o1; Pred:1.0; Label:1
Molecule_293:[N-]=[N+]=CC(=O)NCC(N)=O; Pred:1.0; Label:1
Molecule_294:[N-]=[N+]=NCC(O)CO; Pred:1.0; Label:1
Molecule_295:c1ccc2c(COCC3CO3)cccc2c1; Pred:1.0; Label:1
Molecule_296:Cc1cn2c([N+](=O)[O-])c(-c3ccc([N+](=O)[O-])cc3)nc2s1; Pred:1.0; Label:1
Molecule_297:O=C1C=C(S(=O)(=O)[O-])c2ccccc2C1=O; Pred:0.0; Label:1
Molecule_298:O=[N+]([O-])c1ccc(OCC2CO2)cc1; Pred:1.0; Label:1
Molecule_299:Cc1ccc2nc3c(c4c(c5ccccc53)O4)c(C)c2c1; Pred:1.0; Label:1
Molecule_300:c1cc2c3c(c1)ccc1cccc(c13)C2; Pred:1.0; Label:1
Molecule_301:CS(=O)(=O)n1ncc(Cl)c(Cl)c1=O; Pred:1.0; Label:1
Molecule_302:Cc1cccc(NO)c1C; Pred:1.0; Label:1
Molecule_303:CN(C)c1nc2c3cccnc3ccc2n1C; Pred:1.0; Label:1
Molecule_304:Nc1ccc2cc3ccc([NH3+])cc3nc2c1; Pred:1.0; Label:1
Molecule_305:CCN(CC)c1cc(NC(C)=O)c(/N=N/c2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1OC; Pred:1.0; Label:1
